date,open,high,low,close,Adj Close,volume,rsi
2002-12-18,90.32,90.400002,89.330002,89.800003,60.883228,35612600,45.9
2002-12-19,89.349998,90.699997,88.599998,89.160004,60.449284,39264200,43.93
2002-12-20,89.199997,90.019997,89.099998,89.989998,61.311844,31176900,47.1
2002-12-23,89.589996,90.470001,89.309998,90.019997,61.332294,22599300,47.22
2002-12-24,89.589996,89.860001,89.25,89.349998,60.875809,10937000,44.85
2002-12-26,89.699997,90.610001,88.839996,89.389999,60.903065,17485600,45.03
2002-12-27,88.959999,89.290001,87.379997,87.379997,59.533585,22205700,38.34
2002-12-30,87.790001,88.470001,87.220001,88.110001,60.031002,29968000,41.73
2002-12-31,87.989998,88.43,87.110001,88.230003,60.112747,34036600,42.29
2003-01-02,88.849998,91.300003,88.540001,91.07,62.047672,44516300,53.65
2003-01-03,90.910004,91.379997,90.5,91.349998,62.238453,32222600,54.6
2003-01-06,91.239998,93.489998,91.169998,92.959999,63.335392,40984500,59.71
2003-01-07,92.900002,93.370003,92.199997,92.730003,63.178658,38640400,58.69
2003-01-08,92.199997,92.400002,91.050003,91.389999,62.265682,38702200,53.03
2003-01-09,91.82,93.18,91.410004,92.809998,63.233173,34804900,57.69
2003-01-10,91.949997,93.639999,91.800003,93.059998,63.403538,37768900,58.47
2003-01-13,93.540001,93.860001,92.440002,93.029999,63.383057,31649900,58.33
2003-01-14,92.690002,93.830002,92.410004,93.330002,63.587467,30733000,59.37
2003-01-15,93.540001,93.57,91.910004,92.400002,62.953857,33511800,54.8
2003-01-16,92.5,92.93,91.449997,92.019997,62.694912,44812100,53.0
2003-01-17,90.989998,92.300003,90.150002,90.660004,61.768353,35618300,47.06
2003-01-21,90.870003,90.919998,88.949997,89.25,60.80769,36826200,41.82
2003-01-22,88.769997,89.800003,88.0,88.169998,60.071831,42286500,38.31
2003-01-23,88.75,89.379997,87.949997,88.709999,60.439766,55919800,40.98
2003-01-24,88.589996,88.68,86.169998,86.379997,58.852276,68633900,34.11
2003-01-27,85.730003,86.800003,84.5,85.199997,58.048336,57884400,31.26
2003-01-28,85.629997,86.400002,85.129997,85.830002,58.477554,46929100,34.42
2003-01-29,85.419998,87.18,84.769997,86.480003,58.920437,53712200,37.6
2003-01-30,86.790001,86.879997,84.400002,84.43,57.523724,49845900,32.28
2003-01-31,84.150002,86.209999,84.150002,86.059998,58.634281,55317000,39.6
2003-02-03,86.139999,86.809998,85.919998,86.230003,58.750103,39696000,40.32
2003-02-04,85.309998,85.75,84.300003,85.379997,58.170975,43633400,37.88
2003-02-05,85.75,86.540001,84.480003,84.849998,57.809891,55270600,36.39
2003-02-06,84.370003,84.889999,83.650002,84.449997,57.537354,53638000,35.27
2003-02-07,84.910004,84.989998,82.970001,83.419998,56.835583,43165000,32.49
2003-02-10,83.459999,84.129997,82.650002,84.010002,57.237595,45455900,35.62
2003-02-11,84.370003,84.879997,82.830002,83.43,56.8424,46861000,33.96
2003-02-12,83.160004,83.620003,82.089996,82.099998,55.936256,35873600,30.44
2003-02-13,82.150002,82.660004,81.0,82.349998,56.106598,57934100,31.87
2003-02-14,82.370003,84.199997,81.82,84.150002,57.33297,59580900,41.22
2003-02-18,84.529999,85.800003,84.389999,85.629997,58.341309,39492700,47.6
2003-02-19,85.32,85.470001,84.279999,85.18,58.034721,31432000,45.96
2003-02-20,85.209999,85.419998,84.050003,84.330002,57.455582,29280100,42.97
2003-02-21,84.379997,85.739998,83.459999,85.18,58.034721,60955800,46.71
2003-02-24,84.93,85.0,83.589996,83.800003,57.094501,30628600,41.9
2003-02-25,82.949997,84.489998,82.220001,84.470001,57.55098,56770600,44.87
2003-02-26,84.019997,84.529999,83.080002,83.239998,56.71294,37787200,40.76
2003-02-27,83.699997,84.75,83.160004,84.339996,57.462399,51126000,45.56
2003-02-28,84.470001,85.230003,84.160004,84.900002,57.843948,43666800,47.88
2003-03-03,85.260002,85.779999,83.720001,84.089996,57.292091,42923100,44.9
2003-03-04,83.949997,84.010002,82.650002,82.75,56.379097,31440500,40.42
2003-03-05,82.610001,83.540001,82.360001,83.449997,56.856033,43974700,43.59
2003-03-06,82.870003,83.519997,82.470001,82.75,56.379097,41217700,41.23
2003-03-07,81.610001,83.989998,81.43,83.32,56.76749,63538000,43.89
